"class","lepton_pT","lepton_eta","lepton_phi","missing_energy_magnitude","missing_energy_phi","jet1pt","jet1eta","jet1phi","jet1b.tag","jet2pt","jet2eta","jet2phi","jet2b.tag","jet3pt","jet3eta","jet3phi","jet3b.tag","jet4pt","jet4eta","jet4phi","jet4b.tag","m_jj","m_jjj","m_lv","m_jlv","m_bb","m_wbb","m_wwbb","id"
0,0.547014177,-0.349708945,-0.646657169,2.040462255,0.276456982,0.54469651,0.838699281,1.728703141,0,0.65280962,1.47169137,1.24327302,0,0.785729885,-0.044429291,-1.019803405,2.548224449,0.419147104,-0.629242182,1.570794582,3.101961374,0.689433575,0.867229581,1.082487822,0.664141953,0.354114562,0.579945028,0.817273438,12
1,1.484203696,1.699521422,-1.059473991,2.700195551,-1.055963874,2.409452915,0.457460791,0.344982326,0,1.414903522,1.114225864,-1.448866606,0,1.012983918,-2.056988955,1.13101089,0,0.905474603,2.182368994,1.043073177,0,1.653626323,0.993576229,0.983321786,0.741379797,0.163381636,0.592324317,0.74513787,13
0,1.05797565,-0.160759002,-0.194997251,2.70502305,-0.751476705,1.909918904,-1.031844974,0.86498636,0,1.300834894,0.14673768,-1.118742943,1.107436061,0.966971099,-0.366657346,1.108266711,0,0.554724932,-0.714190185,1.505314946,3.101961374,0.954494357,0.651038587,1.124949694,0.894001007,0.67217344,1.182358265,1.316304088,14
0,0.675303578,1.120983958,-0.280445904,1.539554954,0.734517574,0.614684403,-0.507023156,0.794580698,2.173076153,0.218820274,-1.894118309,-0.580557883,0,1.24568212,-0.347542107,-0.856156468,2.548224449,0.753101766,-1.14559269,-1.374783993,0,0.906940103,0.898339093,1.119651079,1.269073486,1.08876586,1.015413046,0.914635897,15
1,0.642727911,-1.429840326,1.519071937,0.940998554,0.887227416,1.615126848,-1.336835742,-0.266596228,1.086538076,1.66708827,0.655737519,-1.588128924,0,0.828230202,1.836144567,0.408190757,0,1.708718181,-0.346915156,-1.182784557,3.101961374,0.921090245,1.373361707,0.984917283,1.422878146,1.546551108,1.782585502,1.438173771,16
1,1.102446795,0.42654416,1.717157483,0.934301972,0.775743425,1.279386401,-0.249563381,-0.926305652,2.173076153,1.066654444,0.434264302,0.680675626,0,1.054079294,0.003813889,0.25508377,0,0.743365467,1.207965851,-1.150599599,0,0.708635211,0.521908283,1.054312587,1.272654414,0.834633827,0.934980273,0.86530453,17
1,1.047910094,-1.11914432,-0.956824601,0.995669365,-1.550324202,0.733315825,0.283180326,0.918760777,2.173076153,1.050412893,-0.04073742,0.108646125,2.214872122,0.943437874,0.319670171,-0.85782063,0,0.62823385,-0.325261772,1.217315674,0,0.873131216,0.873373568,0.976217806,1.373093963,0.887988508,1.206525087,0.999058425,18
0,0.488268256,1.697573543,0.791093946,0.893613636,-0.709290743,1.562727451,-0.076273143,1.738681912,2.173076153,0.624355435,2.395467758,0.522549152,0,1.661202192,0.265965492,-0.21820806,2.548224449,0.946610391,-0.077080429,0.284508467,0,1.674505234,1.413675904,0.987922668,1.333243012,2.004407406,1.550748467,1.216708779,19
0,1.413196206,-0.852276862,0.310029209,1.128018141,-1.509792209,0.819518149,1.152602315,-1.670277357,2.173076153,1.170272946,0.10011176,0.266217798,0,0.852290332,0.4006823,-1.334338188,0,1.37038219,0.959784448,-0.632311761,0,0.889585853,0.938041091,1.745206475,0.97391808,0.67713207,1.135699511,0.972836316,20
1,0.769919276,-0.449053764,-0.985677361,0.965721846,-1.300960183,0.738720596,-1.032835126,0.874965131,1.086538076,1.369452357,-1.181129932,0.166903272,1.107436061,1.256570697,-0.12180043,-1.58785224,0,0.599511802,0.610831559,0.115815178,0,1.048222899,1.105508924,0.993321896,1.13181591,0.891867876,0.973950446,0.951232553,21
0,1.250867128,-0.750010073,1.090164185,0.461849302,-0.380656958,0.677160561,0.339623421,-0.711208045,0,0.600937366,-0.461342216,-1.246908545,0,0.822434783,0.985061944,-1.652756333,0,0.753588498,-0.907405257,0.278959304,3.101961374,0.84826678,0.842342079,1.021281004,0.665904224,0.410987496,0.606532872,0.63835305,22
1,1.113610268,1.782308817,1.450269103,0.652962685,1.51336813,0.824831367,1.850714326,-0.480030715,0,0.846071482,1.157937765,0.513671935,2.214872122,0.519839168,2.685406685,1.542069674,0,1.042026043,0.549202681,-0.462505877,1.550980687,1.321420908,1.036845684,0.99677074,0.824355304,0.691857696,0.803629279,0.830536067,23
0,1.008929133,-0.66040498,-1.53887403,1.315600991,-1.692688704,1.145548224,2.02499485,0.136537209,0,1.063380957,-0.539052129,1.051856875,2.214872122,1.124327779,0.548142612,-0.887221634,2.548224449,1.016711712,-0.05709267,0.17241621,0,1.075980306,0.939187586,0.973580837,0.932499528,1.346445441,0.854128063,0.822409987,24
0,2.122356415,0.791782498,0.723400831,2.438205719,1.064429641,2.691786528,0.361408502,-0.993385077,2.173076153,1.724626064,1.2035923,0.488149732,2.214872122,0.267471284,-0.767166734,-1.13352406,0,1.371599197,0.600837708,-0.568496823,0,0.727094471,0.981466353,0.988615453,2.837282896,3.398400307,2.152293444,1.568267345,25
1,1.166682959,0.55608201,-0.910771132,0.907788575,0.050827879,1.077758908,0.38715446,1.253049135,0,1.213332057,0.15450868,-0.672659636,2.214872122,0.489281058,-1.384315372,0.703864634,0,1.347745419,0.691615462,-1.502413869,3.101961374,0.868049979,0.828957796,1.08722508,0.7822451,0.878309965,0.642207444,0.620906174,26
0,0.313311577,1.256365538,-0.903557897,1.002314448,1.290483356,1.382627606,1.295195341,-1.528357267,2.173076153,1.160200715,-0.765382171,0.080349803,1.107436061,1.060050368,2.308563709,-0.339695066,0,0.852411866,1.128847599,0.377733678,0,0.910551488,1.480035424,0.988251865,1.000418782,2.975703001,1.837138414,1.443828464,27
0,1.263494849,0.596014738,0.460396588,1.06333828,1.059895277,0.709223032,-0.612977803,-0.687924266,0,1.464131832,1.079256415,1.17447412,2.214872122,1.410590529,0.368823618,-0.595985591,1.274112225,0.611195385,0.292693108,-0.893675268,0,1.175427556,1.244221449,0.987955868,0.905143321,1.622873783,1.441601157,1.222068071,28
1,1.121113658,-0.378928006,1.363155961,1.45056963,0.782214761,1.087652564,-0.803101897,-0.792701185,1.086538076,0.515323043,0.368210882,-0.665446877,0,0.707753956,-1.372482181,1.448874235,0,0.579308987,0.440935642,0.237895831,3.101961374,1.335788727,0.869060576,0.984373152,1.458810091,0.905457377,0.949501097,0.863411903,29
1,0.42037186,-0.721765041,0.731723785,0.884819329,-0.723948419,0.74082756,1.243703485,1.618936896,0,1.248207211,0.280787259,0.076465994,2.214872122,1.085164309,0.330593169,1.241957784,0,1.024744034,0.086152926,-0.955270588,1.550980687,0.918797016,0.927300334,0.989288449,0.743531466,0.823612094,0.922827065,0.798416913,30
0,1.380254507,1.426810145,1.104590535,1.788419485,0.981817007,1.955447674,-0.205003038,-0.85201937,1.086538076,0.901343107,-0.193243086,0.854337454,0,1.171921253,0.352439135,-0.51221776,1.274112225,0.445435077,-0.157864287,1.420968294,0,0.403354764,0.881571174,1.000059843,2.450094938,0.804278612,1.607648134,1.272257805,31
1,0.69451952,0.419726372,1.202801108,0.76944077,-0.910607934,0.829778194,1.168445826,0.075555921,0,0.393574327,0.391523838,0.509788096,2.214872122,0.747093201,1.55942893,0.835336924,0,1.089977145,-0.421869248,-1.160588026,3.101961374,0.973126948,0.653715432,0.986719072,0.687732875,0.652317703,0.783599854,0.702941298,32
1,0.312030494,1.721922636,1.410874009,1.133048296,1.163070679,0.756309152,1.210035563,-0.699566126,2.173076153,0.755420983,-0.053365279,-0.138910607,2.214872122,0.811546206,-0.192799821,1.153200269,0,0.846570015,1.29791069,1.681777,0,1.009978175,1.00007081,0.996305287,1.11837852,0.930945694,0.859874547,0.793964744,33
0,0.430986404,0.571665525,-0.683832824,2.262182951,0.154637128,1.177519083,0.178215951,-1.429124117,2.173076153,0.46269536,0.648937881,0.544187546,2.214872122,0.756576777,0.955023766,1.551500201,0,0.657686114,1.073048472,1.063604951,0,0.344276637,0.840333045,0.985785663,0.58013165,1.095773935,0.957484305,0.821119487,34
1,0.457888752,0.12850973,-0.519036233,1.194678545,0.736832023,0.533703625,-1.316040993,-1.7290411,0,0.68655175,0.350726157,1.10345602,2.214872122,0.911474764,1.048779249,-0.218762785,2.548224449,0.808355153,-1.014006615,-0.367060989,0,0.88752073,1.370768309,0.984328926,0.870676458,0.852205396,1.237830281,1.005915523,35
1,0.975804508,0.291162491,-1.128276706,0.667556822,-0.540491343,0.949783623,2.025985003,1.059572101,0,0.677738547,-0.571107447,1.306523681,2.214872122,1.199142456,1.292725921,-0.27257213,0,0.601702452,1.123850703,0.824992776,3.101961374,1.890821338,1.025709629,0.990177691,0.813684285,0.693467915,1.131172538,1.181490421,36
1,0.534752548,-1.390881538,-0.825322509,1.343023181,-1.448913455,1.110554338,-0.851623178,-0.483911335,0,1.676908731,-0.700300157,1.069056511,2.214872122,0.622928917,0.018377867,-1.653311014,0,0.924947143,0.350157887,0.169086725,0,0.851972818,1.024552107,0.985858083,1.447211862,0.755299449,1.272672057,1.137772679,37
0,2.638076067,1.288506508,-0.280445904,0.991171777,0.872442067,1.152418852,-0.702098429,1.551303148,2.173076153,0.642863274,-0.767324924,-1.689108014,0,0.746566296,-2.603138208,0.906897724,0,1.258658409,0.985601962,-0.759386599,0,0.889108062,0.937395573,1.931391358,2.568705082,0.708575189,1.666124225,1.322341919,38
0,2.559199095,-0.021481469,-1.614890099,2.095007658,-1.334593534,1.71983397,-0.640704215,0.032869019,2.173076153,0.736913145,-0.413744897,-0.37915194,0,1.158222675,-0.597860456,-1.607822776,2.548224449,0.846570015,1.548590541,0.846634388,0,0.979674578,0.950629652,1.003842831,0.748131812,1.750931263,1.605655313,1.295001507,39
1,1.925255656,-0.859094679,1.353168488,1.768525481,-1.452243567,0.756034374,-0.341654748,-0.80933249,2.173076153,1.733942986,-0.849891663,0.150813207,0,0.944140255,-0.37575981,0.931860864,0,0.60608381,0.624156773,-1.039062262,0,0.964364827,0.930906534,1.474188685,1.062426329,0.529717326,0.906506717,0.818524837,40
1,1.544779778,0.059357941,-1.731965899,1.03415525,0.807373226,2.466799021,-1.236822486,-0.565407336,0,1.932618737,2.370212078,-1.638618469,0,3.921273232,-0.645193398,0.726608813,2.548224449,1.842835546,-0.218660399,-0.526875675,3.101961374,2.291638851,2.692234516,1.318794966,1.447442412,1.914337397,3.17561245,2.387144089,41
0,1.199624658,-1.017851472,-1.173220515,0.844996929,-0.43924281,0.600576878,-0.813994467,1.62725246,0,0.706066847,-1.103420138,0.845460117,0,1.111156225,-0.535963535,0.42372334,2.548224449,1.038131475,-0.456014961,-0.629537165,3.101961374,0.923290968,0.890069187,0.989943087,0.886926293,0.667471588,0.658215463,0.693685114,42
1,0.946889102,-0.329255611,-0.032977913,0.020386755,-1.380647898,1.24457562,0.865435541,0.799015701,2.173076153,1.130109787,-0.012567585,-1.687998295,0,1.371075749,0.681038976,-0.931045711,0,0.982391298,0.958118796,0.019260477,0,1.001405358,0.587428391,0.524560511,0.85961616,0.892175972,0.820416629,0.697210431,43
1,1.027779102,-0.732478678,1.242751122,1.198099017,-0.031890329,0.756492436,-1.491311669,1.403839231,0,1.343012571,-1.475456238,-0.262637645,2.214872122,0.48348555,-2.591305017,1.685746193,0,0.707341194,-0.68670702,-1.342044234,1.550980687,0.830829263,0.685982406,1.401883721,1.092810154,0.790870845,0.828685343,0.856210589,44
1,0.302697062,1.225198627,0.629074454,1.255721331,-0.601902664,0.897384286,0.528757334,0.974198282,2.173076153,0.913303971,-0.667273402,-0.299256414,2.214872122,0.991031229,0.559975863,1.376203775,0,0.5337919,-1.175574303,-0.671710491,0,0.77099514,1.005908728,0.987749517,0.700258374,1.491331816,0.876227558,0.756521463,45
0,0.534203529,-0.765593648,-0.533462644,0.973645091,-1.501283884,0.796524704,-1.573500752,0.323361725,2.173076153,1.137286305,0.27107352,-0.997789979,2.214872122,2.433760643,2.002720118,1.210337996,0,1.955532908,0.216073349,-0.272171021,0,3.588064194,2.573239803,0.989133716,1.250631213,1.990391254,2.741756201,2.023308516,46
0,1.075544477,1.911846638,-0.667186975,0.617608726,-0.665034652,0.4960531,-1.52398932,1.127205849,0,0.943898559,-0.870290518,0.103097834,2.214872122,0.93535924,1.242662311,1.271358728,2.548224449,1.235047936,-0.511814177,-1.578436852,0,0.961228967,1.036010742,0.974998176,0.871588349,1.634393215,1.177893877,1.285180211,47
1,0.442149967,1.823215365,-1.465632439,0.988438487,-1.56463778,1.443821311,-2.428069115,0.846137643,0,2.252413511,0.524602056,-0.141129926,1.107436061,2.365970612,0.327862412,-1.663296342,0,1.063932657,-0.091238424,-0.787687123,0,0.656742156,0.900453806,0.991281867,0.833514988,1.460131168,1.053026915,0.845415592,48
1,0.575197577,-0.588331282,1.555137992,0.501311004,0.137157783,0.406552851,-1.782439232,1.262473464,0,0.348123163,-1.979599357,0.111420281,0,0.942208529,-0.695257068,-1.028124332,2.548224449,0.606570601,0.405957043,-0.666716278,3.101961374,0.694932163,0.884014249,0.987182021,0.70473063,0.427550942,0.633944631,0.590057969,49
0,0.998863637,1.633291602,1.531833768,1.018999338,-0.793035567,0.6130355,-0.171335205,1.109465837,1.086538076,0.817239642,0.618825316,0.904272079,0,1.224607706,0.506271183,-0.244280621,0,1.18904388,1.033072948,0.553085864,0,0.991598725,0.947763562,1.210698605,1.278407454,0.973081112,1.015395164,0.923845172,50
1,1.792391062,-0.343865126,0.136357605,0.840607524,-0.813060164,1.684931517,0.624809623,1.498637438,0,0.547554314,0.586769938,-1.315152764,0,0.805575073,2.24757719,-0.159960851,0,1.011113286,1.328725219,-0.284934014,3.101961374,1.159611464,0.878365576,1.282771468,1.101908445,0.298583955,0.793001831,1.00974381,51
1,0.640531838,1.633291602,0.000971441,1.118375063,1.009678245,1.012717843,0.749578655,1.51637733,0,1.437943816,0.525573432,0.357764721,2.214872122,1.648557544,0.174940646,-0.914958417,0,1.605270028,-0.493492037,-0.864264965,1.550980687,0.844994187,0.645211816,0.986824632,0.815210938,1.472322226,1.008878469,0.964735627,52
0,0.545733094,0.444075584,-0.291543096,1.428519487,-1.480271459,1.473868489,0.659467697,-1.103705764,2.173076153,2.622066259,0.480890244,0.537529588,0,0.685450077,-0.77717942,1.057785749,2.548224449,0.563730955,-1.013173819,-1.034623027,0,0.413183063,1.265252233,1.073084593,0.853683889,1.564817905,0.916527271,0.798978031,53
1,1.274475336,-0.150045335,-0.628346741,1.824410915,-0.101021223,2.833044767,1.928942442,-1.627590418,0,1.361142755,0.039886594,0.110865451,2.214872122,2.68964076,0.2304658,0.573501825,1.274112225,0.776468813,0.381805182,-1.153374195,0,2.073954344,3.254603148,0.989749014,1.344236732,0.851360023,2.495853424,2.298570633,54
1,0.625342011,-0.505543947,1.262726068,0.813901722,-1.313514352,1.227628231,-0.924900174,-0.091413617,0,1.216605425,0.430378795,1.587822437,2.214872122,0.976103425,0.010185629,-0.290878356,2.548224449,0.518213868,-1.251361251,0.127468333,0,0.920571387,0.749714971,0.985983372,0.646560192,1.176702738,1.064228415,0.928559363,55
1,1.864313722,0.056436032,-0.290433407,0.550350308,0.224121064,0.604424477,0.555493534,0.877182662,0,1.059981585,-0.37488997,1.727084637,2.214872122,0.82401526,-1.419815063,-0.485035717,0,0.816874444,0.924805939,1.317754745,0,0.510235608,0.915952921,0.989710987,0.820723176,0.440588981,0.842162251,0.785443723,56
1,1.06456387,-0.610732555,-0.37532717,1.11606276,0.989820182,0.582255483,-1.433878303,-0.946263194,0,0.986327946,-0.549737215,-1.02997005,0,1.144875526,1.286354303,0.130268335,0,1.168597698,0.648308635,1.055836201,3.101961374,0.935768187,0.946338892,1.423623204,0.84485203,0.724027753,0.728249848,0.716882348,57
0,0.512425482,0.58919698,-1.486162305,0.551807165,-0.637134433,0.43852374,-0.922919691,-0.210050493,2.173076153,1.26570785,0.444949418,1.367554903,2.214872122,0.365819246,0.425259024,-0.052342258,0,0.640891016,-0.053761374,0.685709894,0,0.359593213,0.633074105,0.983354926,0.645038724,1.36204958,0.813977063,0.639475346,58
1,1.376777411,-0.587357342,-0.86860168,1.73466444,-1.398652196,0.432569295,-0.277289808,0.236324757,2.173076153,0.92073226,0.320613593,1.151726127,1.107436061,0.330168098,-0.050801035,1.365663886,0,1.935086846,-2.211606264,0.027584158,0,0.635048985,0.757873595,0.98770529,0.979983628,0.739955962,0.922678292,0.794224799,59
1,1.825149775,0.661270678,-0.884692669,1.030477047,0.833463967,1.565475702,2.020043612,-0.008811746,0,1.341249943,0.816985548,1.398070574,1.107436061,1.286075115,0.089377262,-1.706010938,0,1.295169473,1.032240033,-1.295431733,0,1.00003469,0.904121339,1.899531603,1.042959332,0.663304687,0.883202434,0.810355723,60
1,1.073714256,-0.202639654,0.943125963,1.242085814,-1.72687149,0.952165425,-0.813004196,-0.239431828,2.173076153,0.628636181,-1.61630547,1.494056106,0,0.759211063,-0.79265368,-1.27609098,2.548224449,0.667909205,-0.085408658,-0.832080066,0,0.921172261,0.765297532,1.074848294,0.735319436,0.852347612,0.865912497,0.765470684,61
1,1.748102784,-1.259395719,-1.567726851,1.159173369,-1.307770133,2.53129077,-0.895193279,-0.115806133,2.173076153,1.096619487,-0.52933836,1.515139699,1.107436061,1.602017879,0.505360961,1.042253137,0,0.954399407,-0.731679499,-1.359246612,0,1.552652121,1.09515214,0.984949231,2.287775993,2.478697777,1.716617107,1.644225478,62
1,0.653342485,0.816131651,1.491328955,1.173124909,0.353204817,0.998610318,0.79512918,0.098839685,2.173076153,1.03177917,1.715506196,-0.9950158,0,1.052322984,0.893126905,-1.387592912,0,1.043729901,-0.756664157,-1.378113508,0,0.849116325,1.121664762,1.036650896,0.772634625,1.037204623,1.015725493,0.878524125,63
1,0.603014946,-1.305172324,-0.294872284,1.98601985,-0.397121191,1.037909746,0.458451003,1.22089529,2.173076153,0.42970866,0.014630877,1.719317079,2.214872122,0.469787091,0.031121351,-0.543282926,0,0.5240556,-1.371287704,0.514796972,0,0.682346642,1.044998646,0.983976483,1.363411546,0.480033368,1.874906898,1.363850236,64
1,0.664322972,-0.216275215,0.434872985,1.156050086,1.436538577,1.839289665,-2.03395772,0.305621684,0,2.574600697,0.988918722,-1.165348649,2.214872122,1.506479859,1.083368897,-1.622800589,0,0.631154776,0.660800993,0.673501849,3.101961374,0.838520586,0.945047736,0.987560332,0.540659785,1.153687477,0.997552037,0.837078333,65
0,1.135022402,0.285318702,-1.109411478,1.088544369,-0.896261036,1.103134036,0.12672399,0.96421957,0,0.731247544,-0.488540709,0.048169684,2.214872122,0.754469275,0.464399725,0.380453974,0,0.714643419,-1.183069706,-0.956380367,1.550980687,0.883162498,0.925714254,0.986575305,1.057784915,0.599632263,0.887197077,0.970675707,66
1,1.124041796,0.354470462,0.039811734,1.132498503,1.620306492,0.955921292,1.375404,0.415942401,0,1.542569637,0.437178403,-0.804709136,2.214872122,1.723547816,1.677761197,-1.636114359,0,2.127865314,-0.175353572,1.561915994,0,0.851553142,1.251060963,1.546395421,0.74347508,0.138549939,0.717625439,0.746045113,67
0,1.217925549,-0.307828307,-1.601573467,1.532368779,-1.006823778,0.555780947,-0.059439227,0.819527626,2.173076153,0.840028167,-1.430773139,0.502020478,0,0.463113487,-0.800845921,-0.214879647,2.548224449,0.40697673,-1.487882972,0.811119974,0,0.627298295,0.812111974,0.989370704,0.704443753,0.573487401,0.708874881,0.764995515,68
1,0.35174346,-1.439579964,0.06256105,0.643742383,1.518690586,1.137761593,0.660457909,1.459830999,2.173076153,1.126710415,-0.033937804,-0.519523859,0,0.930793107,0.094838753,0.137479901,0,0.496063739,0.795718312,-0.591248214,3.101961374,0.883352935,0.567816675,0.994612813,0.906224251,0.772890806,0.907175839,0.785615802,69
1,0.637054682,0.994368017,1.197807312,0.755408466,1.183211803,0.645922482,-1.285343766,0.843920112,0,1.288244605,0.138966709,-1.165903449,2.214872122,0.825947106,-1.663761735,-0.399607033,0,0.701986253,0.662466645,-0.71166414,0,0.92545414,0.712344766,1.001111269,0.988702774,0.705111444,0.809691012,0.731668055,70
0,1.177846551,-1.467825055,-0.930746138,1.112738371,0.17654708,0.710413992,-1.096209884,0.586135626,2.173076153,0.659230709,0.754817605,1.436908603,0,0.791525364,-1.702902436,-0.403489619,0,1.131356478,-0.379395276,-1.623384595,3.101961374,0.736332059,0.788292944,1.333251119,0.960398793,0.921211779,0.798358679,0.688751936,71
0,0.812011302,-0.292244822,0.793868244,0.639081597,-0.177157462,1.13263166,-0.239661083,-0.136872947,1.086538076,1.422079921,-0.65853101,1.662724376,2.214872122,1.217933893,0.175850898,-1.176793456,0,1.184419155,0.265209913,1.585222363,0,0.903244436,0.981071234,0.994852304,0.816758037,1.909557343,1.047533274,0.878017724,72
0,1.276671529,-0.163680896,0.023720756,0.660337925,-1.226145387,0.840679407,-0.442658216,1.13552165,2.173076153,0.787526369,0.151594564,-1.73904264,2.214872122,0.597112536,-0.001647604,-0.639809668,0,0.70052582,2.485516548,-1.041836858,0,1.528352141,1.286105037,1.147902489,0.99747318,0.725168645,1.191168427,1.061159611,73
1,0.923280895,0.824897408,-1.263108015,0.811575651,-0.40325734,0.915980518,0.647584915,1.43488431,2.173076153,0.737416804,1.71453476,-0.441847682,0,1.64873302,1.14981699,0.529123068,0,1.22677207,-1.070638657,-1.294321775,0,0.922574878,0.93145752,0.989284813,0.828986406,0.607401192,0.738731563,0.695139825,74
0,0.863253832,0.001893782,-0.21830143,1.328997731,-1.344455838,0.364230275,1.067442417,-0.936838746,0,0.431093603,-0.404031187,1.713213801,0,0.6113379,-0.04533954,0.201829195,2.548224449,1.151559234,-0.292781651,1.026980758,0,0.897449374,0.743671179,1.259570599,0.75738883,0.171363905,0.557414174,0.56289345,75
0,0.621132851,0.644713163,0.473713279,0.696662605,0.467052042,1.349740744,2.064603806,-1.640341043,0,1.298065066,0.237075448,-0.504543424,2.214872122,1.845604539,0.266875774,0.251755387,0,2.003240824,-0.829119802,1.239512086,0,1.049339294,1.013560772,0.99386847,1.248377085,0.587562084,0.901735783,1.115478754,76
1,0.664322972,0.845350683,1.329864264,0.592268646,-0.367797494,1.532130718,0.473304451,-1.00170064,0,1.232343435,1.294901371,1.301530242,1.107436061,1.08656919,2.506087542,0.96292603,0,2.042186022,0.245222166,0.261757046,0,0.705783308,1.086175442,0.986587703,0.616673231,1.043556929,0.746515453,0.678132892,77
1,1.302109718,-0.36431849,0.123595789,0.147436693,1.570799947,0.709223032,-1.391298413,0.87662822,0,0.71953851,0.188506767,-0.710942924,0,0.984708846,-0.284734964,-1.221172214,1.274112225,1.175413132,0.418449402,1.661800146,3.101961374,2.01726985,1.31710875,0.98951447,0.783525825,0.547197223,0.909379959,0.824294806,78
0,1.073165298,1.932299852,-1.676479816,0.802813947,0.433715045,1.031222463,0.948614836,-1.335989118,2.173076153,1.063758612,0.704306185,0.254566371,2.214872122,0.559705198,-0.952857554,-0.639809668,0,1.274723172,-0.461011946,0.543652356,0,0.848122001,0.987832904,1.215984941,1.111252666,1.53725183,1.087728858,1.17169857,79
1,0.415430665,1.472586632,-0.723782837,0.8286075,1.3305825,0.60607338,0.368340105,-0.582592964,0,0.600056052,-0.575964272,0.055382468,1.107436061,0.393567413,1.805196047,0.4952842,0,1.022310019,-0.053761374,-0.291592926,1.550980687,0.836840928,0.722044826,0.991247475,1.182906508,0.287962019,1.120907903,0.947828472,80
1,1.565276742,0.914502501,-1.256449699,0.485273778,1.501274467,0.549002051,1.243703485,-0.413505673,0,1.30536747,1.167651534,0.519775033,2.214872122,0.46803087,-0.241953269,-0.107815735,2.548224449,0.458579063,0.355154842,0.876044691,0,0.920036495,0.892567992,0.986295342,0.722824693,0.800991833,0.835811913,0.725911796,81
